,Title,Company,Location,Salary,Summary
819,Ashok Leyland Opportunity For Iti Candidates,Company Hidden,"Pune, Maharashtra",378000.0,R r Company name - ASHOK LEYLAND PVT LTDContact with us - HR shabnam 7082963619SALARY-28000-35000 P M ROOM FOODLocation - All india Candidate will be…
820,AVP - KYC Client Maintenance,Barclays,"Chennai, Tamil Nadu",Nan,"For further information on EVP, please click on the link below. … Be More Inspired by working alongside the most talented people in the industry, and delivering…"
821,Educational Admin Officer,Talentedge Education Ventures Pvt. Ltd.,"Pashan, Pune, Maharashtra",0,Educational Admin Officer is Responsible for : … Good in Microsoft Word & Excel. … Salary + Incentives + Immediate promotions.
822,Design and Estimation,3 s security systems,"Mumbai, Maharashtra",490000.0,"To progress sales enquiries and tenders, and to establish customers’ requirements in conjunction with our sales managers."
823,URGENT REQUIRED TRAVEL EXECUTIVE & SR. EXECUTIVE,SHAAN WORLDWIDE HOLIDAYS,"Delhi, Delhi",360000.0,Looking for Travel Executive & Sr. … Handle client over call and mail. Knowledge for all major Domestic and international. … Minimum 12th Class or Graduation.
824,URGENT REQUIRED TRAVEL EXECUTIVE & SR. EXECUTIVE,SHAAN WORLDWIDE HOLIDAYS,"Delhi, Delhi",360000.0,Minimum 12th Class or Graduation. Handle client over call and mail. Knowledge for all major Domestic and international. Looking for Travel Executive & Sr.
825,IT Trainee,KENT,"Noida, Uttar Pradesh",187500.0,We are looking for candidates with excellent academic records and aptitude to join us as Trainees in IT infrastructure team.
826,Front Desk Receptionist,i1hrsolutions,"Indore, Madhya Pradesh",135000.0,A leading real state company is looking for a front desk receptionist. Must have good communication skills. Should be smart and good at handling inquiries.
827,Production Supervisor,Niceg Pvt Ltd,"Chhatral, Gujarat",150000.0,The goal is to ensure that production processes deliver products of maximum quality in a profitable manner. We are looking for an experienced Garment.
828,Office Assistant,Accurate Engineering Company,"Ahmedabad Rakhialudyog Vi, Gujarat",160000.0,"Only those candidates can apply who: 1.4 to 1.8 Lac/annum after 2 months),. Forward few of the order inquiries to our suppliers."
829,System Admin (IT Infrastructure),Logilite Technologies,"Ahmedabad, Gujarat",Nan,Logilite Technologies is hiring an System Administrator who have working knowledge and hands on experience in managing IT Infrastructure and doing DevOps.
830,Receptionist/Administration Assistant,Megapix Film Institute Cochin | Film School | Mult...,"Ernakulam, Kerala",90000.0,We have urgent requirement for Female administration assistant. Immediate joiners will be preferred. Reception & Front office administration.
831,Retired Officials,Andhra Pradesh Grameena Vikas Bank,"Warangal, Telangana",0,Andhra Pradesh Grameena Vikas Bank invites applications on the enclosed application format from Retired Officials (Scale-III to Scale-V) from RRBs and…
832,URGENT REQUIREMENT OF STAFF IN COMPANY RETAIL STORE,B.S.B.,"Sahamatganj, Uttar Pradesh",Nan,URGENT REQUIREMENT OF STAFF IN COMPANY RETAIL STORE .CANDIDATES WILL BE GETTING GUD SALARY.
833,Fund Administration-Reconciliation - Junior Process Executiv...,Société Générale,"Chennai, Tamil Nadu",Nan,"Daily reconciliation of all bank accounts. Monitor and reporting of bank fees and interest charges, verifying and processing claims."
834,Fresher Graduate for Tele-Calling,a2techconsultants,"Ahmedabad, Gujarat",174000.0,Require Fresher Graduate for Tele-Calling for Public Ltd Company in Finance. … 9:30 a.m to 6:30 p.m. … Maintain client relationship and provide them best service.
835,IT Admin,Think Future Technologies,"Gurgaon, Haryana",Nan,"Installation of OS and required service packages: … Provide 1st level support services related to web, mail, DNS, etc. and coordinate with level 2 and 3 support."
836,Sr. Event Coordinator,Spheero Concepts LLP,"Mumbai, Maharashtra",300000.0,"We are looking for an experienced Event coordinator… You will be responsible for every aspect of an event, from choosing venues to evaluating success afterwards."
837,# graduate # fresher,Profit plus financial services,"Indore, Madhya Pradesh",150000.0,Our efforts are to provide you more & more profit in every trade. … Communicate to clients- the products & services of… Maintaining the client information in CRM.
838,Stores In-charge,Flexi Partners,India,1750000.0,Ensure material receipt against order and ensure gate entry Material Accounting Maintain stocks (Consumable and Spares) at established levels Reorder level (ROL…
839,Project Co-ordinator,Signellent Technologies Pvt Ltd,"Borivali, Mumbai, Maharashtra",252000.0,Technical Knowledge on CCTV &WIFI. … Maintaining and Monitoring project plans and project schedules. … Ensuring project deadlines are met.
840,Chief Admin Officer,Vinayak InfoSoft,"Ahmedabad, Gujarat",Nan,"Vinayak Infosoft, an energetic startup, passionate about open source web development, is looking for a young and talented tech savvy Lady Chief Admin Officer to…"
841,IBM MQ,Zensar Technologies,"Pune, Maharashtra",Nan,"Experience in Architecture principles, System Integration, Technical sizing, High availability aspects, Integration best practices."
842,Quality Assurance,KhataBook,"Bengaluru, Karnataka",Nan,"Understand the behavior of complex web/mobile based applications and apply that… Select the best methods, techniques and evaluation criteria for testing."
843,Customer Service Representative,Credence Resource Management,"Pune, Maharashtra",282000.0,Opening for an International Voice Process. … HSC / Any graduate / Post Graduate. … Freshers or Experienced may apply. Interested candidates can call on 9607972941.
844,Communications Associate,ActiveUnited Nations Development Programme (UNDP),"Bhubaneshwar, Orissa",0,Prior experience in working with international NGOs/ organizations of promoting philanthropy to social and development projects in India.
845,Area In charge Sangrur,SEWA Bharat- Punjab,"Sangrur, Punjab",108000.0,"Linkage of women with various government programs (details of schemes like eligibility criteria, documentation requirement, processing time, benefits,…"
846,Customer Care Executive,AM Med Solutions Pvt Ltd,"Ahmedabad, Gujarat",300000.0,Should have excellent communication skill. … Excellent verbal and written communication skills. … Should be willing to work in night shift.
847,Data Entry Operator,Hippocampus Infotech Pvt Ltd,"Chitradurga, Karnataka",Nan,Attractive Salary + Triple Incentives. … Good computer knowledge & typing speed.
848,INTERNSHIP CANDIDATE,VM3 Tech Solutions,India,Nan,"Our Internship Program gives an opportunity to gain experience in the desired career field prior to graduation. … Fresher, BBA, BCA, B.TECH, B.E., MCA and MBA."
849,Accounts Executive,Infinity Solutions,"Rajkot, Gujarat",325000.0,Salary 2 Lac 75 Thousand To 3 Lac 75 Thousand P.A. … Accounts Related Activities and skills.. … Work Experience 2 - 4 Years.
850,Accounts Executive,A 1 Employment and Resource India Private Limited,"Mumbai, Maharashtra",198000.0,Conducting Bank Reconciliation as per bank statement. … Examine books of accounts to ensure that all numbers are accurate in system.
851,Back office Executive,FUTURE BRIGHT,India,192000.0,Male Or Female Both Can Eligible For Interview. Walk-In Interview Is Going On. … For Interview Carry Bio-Data.Academy Documents. … Age Limit - 18 To 29 Years.
852,Hiring for Client Service Executive for Adagency : Communica...,Communication Crafts Pvt Ltd,"Ahmedabad, Gujarat",258000.0,"You can also visit our FB or Linked In profile to know more about us. … I am sure you will fall in love with CC See here. … Minimum 1+ to 2 year’s Exp,*."
853,Principal,Orbis Hospitality Services,"Delhi, Delhi",1100000.0,Secondary classes(6th-12th grades) Provide leadership exhibiting professionalism and high academic standards that celebrate student and staff achievements act…
854,Account Executive,FedEx Express MEISA,"Mumbai, Maharashtra",Nan,"They, in turn, deliver the impeccable service demanded by our customers, who reward us with the profitability necessary to secure our future."
855,Duck Creek Policy,Accenture,"Pune, Maharashtra",Nan,"1:1-3 yrs of exp in the PC insurance with very good understanding of underwriting, rating, insurance rules, forms, claims billing Strong exp on DuckCreek…"
856,Urgent Opening For Corporate Collections Or Field Executive...,Veedee Solutions LLP,"Mumbai, Maharashtra",0,We are having an urgent opening for Corporate Collections or FIELD EXECUTIVE in Mumbai It s the best opportunity for those who are searching for a job in Mumbai…
857,Property advisors,propgreen property management,"Pune, Maharashtra",300000.0,"We are hiring for experienced property advisors with min qualification graduation, immediate joinees required,salary no bar."
858,Customer Care Executive,Cazatalentos HR Consulting,"Jaipur, Rajasthan",270000.0,Both the interview rounds will be conducted over the phone for outstation candidates. … Good to excellent communication skills required.
859,Planning Executive,Nesstech Instruments Pvt. Ltd.,"Vapi, Gujarat",168000.0,"Daily Production Planning,To Prepare Material Planning, To issue Bill of Material, To prepare Dispatch Planning, To Prepare Weekly production Planning, Etc and…"
860,Executive Instrumentation,Firmenich,"Dahej, Gujarat",Nan,"Ensure that PM of instruments is completed as per PM schedule. … PM planning, resource arrangement and coordination with production team for the PM of instruments…"
861,Back Office Executive,SOM LTD.,India,192000.0,Male Or Female Both Can Eligible For Interview. … Post Opportunity - Back Office / Branch Assistant & Others. … Hiring Fresher Candidates For Private Limited Bank.
862,PeopleOps Generalist,MindTickle,"Pune, Maharashtra",Nan,"As an organization, it’s our priority to create a highly engaging and rewarding workplace. … Today, our rapidly growing team consists of 250+ people working from…"
863,Powder Coating Incharge/Supervisor,Reliable Hubs Engineering India Pvt Ltd,"Badlapur, Maharashtra",240000.0,Schedule and Manage Paint powder coating section. 2 Finishing and Packing management. … Candidate must have knowledge in sheet metal Industries & deeply Idea of 7…
864,[Government] Tamil Nadu Generation and Distribution Corporat...,Tamil Nadu Generation and Distribution Corporation...,India,0,"₹ 15000/- per month, after successful completion of training, the pay scale is ₹ 16400 – 51500, Age Limit: 9445857200 or through e-mail id sporecruit@tnebnet…"
865,Warehouse & Operations In-Charge,Zarnik Hotel Supplies Private Limited,"Kochi, Kerala",300000.0,"Primary product categories operated by Zarnik are - Hygiene Tissues, Guest Amenities, Cleaning Chemicals and Floor Care Machines. Post assembly orders in ERP."
866,Internal Auditor,Concord Biotech Ltd,"Ahmedabad, Gujarat",Nan,"To pre Audit of all Cash expenses, Advances, Credit-Debit note in respect of budget and budgetary control. Responsible for satisfactorily completing any other…"
867,FINANCE AND ACCOUNTS EXECUTIVE,G. K. Founders,India,Nan,"Or Graduates with minimum relevant Work ExperienceRequired Skills:Required Candidates Having Relevant Experience in Accounting, Taxation, Excise EtcWell…"
868,English writer,Quill Content,India,Nan,"Looking for a company that will give you the opportunity to work on incredible projects, for the world's best brands, at competitive rates, on a schedule that…"
869,Project Assistant,Sardar patel Renewable Energy Research Institute (...,"Anand, Gujarat",Nan,"Basic knowledge of analytical techniques, Standard methods for examination of water and wastewater, proficiency in Microsoft Word, Excel and PowerPoint, good…"
870,Marketing Assistant,SHEMROCK Primrose,"Bhawanipatna, Orissa",0,"Both male and female are eligible. Address- Shemrock Primrose, Irrigation Colony, ward no 02, Bhawanipatna. Urgent need of marketing assistant for our preschool…"
871,Operations Support Agent Associate,FedEx Express MEISA,"Mumbai, Maharashtra",Nan,"They, in turn, deliver the impeccable service demanded by our customers, who reward us with the profitability necessary to secure our future."
872,office boy's,Signin Group,India,Nan,"Office boy is an administrative clerk or assistant found within a business office environment. An office boy answers incoming calls, routing them to the proper…"
873,Backend Executive,Mithila Plywood Trading & Company,"Sankaritala, West Bengal",189000.0,"14, Near Medical College, Gangadhar Babu Lane, Gurdas Road Lane, College Street, Eden Hospital Road, Calcutta Medical College, College Square, Kolkata, West…"
874,Diver,Asthajyoti Info & Placement Services,"Lucknow, Uttar Pradesh",137500.0,"Address H.o 2/457, Vivek Khand, Gomti Nagar, Lucknow - 226010, Near Railway Station Patrkaar Puram. … Salary 1 Lac To 1 Lac 75 Thousand P.A."
875,[Government] Tamil Nadu Generation and Distribution Corporat...,Tamil Nadu Generation and Distribution Corporation...,India,0,"₹ 15000/- per month, after successful completion of training, the pay scale is ₹ 16400 – 51500, Age Limit: … Http://www.tangedco.gov.in/Erecruitment(gangman).html…"
876,Trainee / Operators - Trainee/Executive-Production - Tetra P...,John Distilleries,"Bengaluru, Karnataka",Nan,Experience in Liquor Industries will be an added advantage. … Job Description For Tetra Executive Candidate should be min Diploma in (Mech/Electrical/Electronics…
877,Upper Division Clerk (UDC),ICMR- National Institute of Nutrition (NIN),"Hyderabad, Telangana",639600.0,Of Vacancies & Reservation Category: … Correspond to 10500 KDPH/9000 KDPH on an average of 5 key depressions for each word.). … 4 of 7th CPC (Rs.25500-81100).
878,Content Writer,iSummation Technologies Pvt. Ltd.,"Ahmedabad, Gujarat",330000.0,"Excellent verbal and written communication skills, Google Ads and basic writing terminologies in the digital world., Excellent grasp of English language,…"
879,Cashier,Jumbotail Technologies,India,Nan,Can envision a great future that you want create. … We are looking for warriors who have the hunger to impact real lives and who can match our high bar on Core…
880,Agronomist,Bosch Group,"Bengaluru, Karnataka",Nan,"An inquisitive mind that is not afraid to explore new roads and take initiative. … Ability to work outside, stand, walk, kneel, and stoop for extended periods."
881,Soldier,Indian Army,"Imphal, Manipur",Nan,Candidates should reach the venue on given date and time as mentioned in the Admit Card.FreshersLIVE wishes you all the best. … Imphal Last Date to Apply :…
882,Civil Enginner(Oil & Gas),Enquest Petrosolution pvt ltd,"Barmer, Rajasthan",Nan,Performing customer centric operations and ensuring satisfaction by achieving delivery & service quality norms.
883,CUSTOMER SERVICE ASSOCIATE,Reliance Vision Express,India,Nan,"You will be a Vision Expert, helping customers choose the right eye care products and thereby ensuring customer delight."
884,Purchase Executive,Rabbit Stationery Pvt. Ltd.,"Pune, Maharashtra",Nan,"Ultimately, you will make cost-effective purchases and ensure we maintain a fully stocked inventory. We are looking for a Purchasing Assistant to order supplies…"
885,Quality supervisor fresher,SBuilders,"Chennai, Tamil Nadu",192000.0,Feel free to call us for any clarification. 9 am ( All working days). Automobile / Auto Anciliary / Auto Components100 % Placements for Freshers.
886,Front Desk Receptionist,Yug Engineering and Consulting,"Bharuch, Gujarat",192000.0,"Reception front desk only female can apply Job Type: Full-time Salary: ₹12,000.00 to ₹20,000.00 /month Education: * Secondary(10th Pass) (Preferred)…"
887,Airport Ground Staff,Wrightjet Academy,"Mania, Rajasthan",336000.0,"The Maximum age not more than 35 years old. Wrightjet offers world-class pilot training as well as a flight instructor job offer, we offer airline standard…"
888,Office Assistant,IDDC ENGINEERS PVT. LTD.,"Mumbai, Maharashtra",Nan,"Job Summary Admin & Accounts Assistant Responsibilities and Duties All office related work Required Experience, Skills and Qualifications Qualifications…"
889,Urgent requirement for receptionist for gym,Victorious Recruitment and Staffing Solutions,"Nagpur, Maharashtra",Nan,Required good looking female candidates for gym with good communication skills. Urgent requirement for receptionist for gym.
890,Need Programme Co ordinator for Agriculture project,Navya Disha Trust,"Bengaluru, Karnataka",720000.0,"Monitoring and Coordination with Programme Manager/s, Development Officer/s and Office Executive/s under WASH & Sugrama Programme."
891,Shift Incharge,Associated Power Tech Pvt Ltd,"Bhuj, Gujarat",475000.0,To ensure that the training skills are met for current and future demands of the shift. All employees are responsible for ensuring company resources are used…
892,Project Coordinator,Exceptionaire Technologies,"Pune, Maharashtra",Nan,Junior/Senior PC – Experience:- 3 Years. Excellent verbal & written communication skills. Excellent interpersonal skills (client communication;
893,Accounts Assistant,impex facility management services,"Jasola, Delhi, Delhi",180000.0,Urgent requirement graduate with b.com tally mandatory. Basic computer skills like excel Excel power etc.
894,PRICING EXECUTIVE,Goodrich logistics pvt.ltd.,"Delhi, Delhi",450000.0,To coordinate with other pricing teams in other countries in developing business synergies and jointly develop more sales while delivering maximum profit.
895,Store Inventory Officer,D Source,"Nashik, Maharashtra",Nan,"Note :Company provides ESICPF, Pickup drop, etc. A Store officer for maintaining all Stock and inventory items."
896,Know Your Customer Operator,Deutsche Bank,"Pune, Maharashtra",Nan,"Our values define the working environment we strive to create – diverse, supportive and welcoming of different views."
897,GAO – Revenue Accounting – EL Role,State Street,"Bengaluru, Karnataka",Nan,"Understanding of international regulatory landscape, experience with statutory accounting/reporting groups across several major international geographies."
898,Supervisor Stitching,Relaxo Footwear,India,Nan,The candidate will be responsible for handling workers and best placing to get maximum utilization. The candidate will look after stitching production.
899,Accounts Executive,RRBP & COMPANY,"Ahmedabad, Gujarat",Nan,"Required B.Com fresher or CS Trainee. To do work related to GST, Accounting, Taxation, Corporate Laws, Trademark etc."
900,Talend ETL,Accenture,"Pune, Maharashtra",Nan,"1 Strong Understanding of Bigdata Hadoop cluster understanding 2 Knowledge about data modelling and various types of schemas in Bigdata data sources like Hbase,…"
901,Customer Service for Non Delivery Reports,Madish Style Bar Pvt Ltd,"Fort, Mumbai, Maharashtra",240000.0,"We need a customer service representative, or CSR, to carry out NDR (Non Delivery Reports) on a daily basis of the online orders that are shipped out, and co…"
902,Data Entry Operator cum Office Assistant,Ankur Oil And Refrigeration,"Kalyani Nagar, Pune, Maharashtra",186000.0,Candidates with 12th passed marksheets only apply and it would be only 1 round of Interview. Freshers required for Email & Chat Process with salary upto 20k…
903,Logistics Coordinator,Accurate Engineering Company,"Ahmedabad Rakhialudyog Vi, Gujarat",160000.0,"1.4 to 1.8 Lac/annum after 2 months),. Job offer (On successful conversion to a permanent employee, the candidate can expect a salary of Rs."
904,Freshers : Trainee.US IT recruiter for Night Shift,"Great Logics Pvt. Ltd.,","Bengaluru, Karnataka",1980000.0,Freshers will be given rigorous on the job training to get enhanced with the skills for 6 months. Excellent analytical and organizational skills;
905,Store Supervisor,BHARAT ELECTRICAL CONTRACTORS & MANUFACTURERS,Maharashtra,Nan,Preference will be given to freshers. Minimum 2 years experience/Freshers can also apply.
906,Placement Coordinator,Renaissance Talent Ghar Business World,"Lucknow, Uttar Pradesh",270000.0,Visiting companies from hospitality industry. Matching student skill with the profile required. Reporting to the center manager.
907,Personal Secretary,Jaya Advertising,"Vasant Kunj, Delhi",300000.0,Should have a extremely pleasing personality with bold mindset and an outgoing personality. Open to travelling and working odd hours.
908,Hiring For Computer Operator - Bank,Talent Planner Private Limited,"Delhi, Delhi",Nan,Dear Candidate r Interested candidates may book their interview slot and if any clarification required you may contact us r Contact Details - 8130982838…
909,Executive - Accounts,Sitaram Bhartia Institute of Science Researc,"Yusaf Sarai, Delhi",Nan,"If you’re looking for an organization that embraces transparency, system design, and customer & employee engagement to create a safe and high performing work…"
910,English and Maths Tutor in Trivandrum,IMS Cochin,India,270000.0,Urgent requirement for English and Maths Tutor in Trivandrum. Candidates should have the confidence to teaching field .
911,Freshers Data Entry Clerk Excellent Salary,Marketing Raxtan Ltd,"New Delhi, Delhi",233400.0,"We are looking for computer Operator , Maintain Data on our google drive applications (documents, sheets, forms) within the organization, as he will be…"
912,Accounts Executive,Qodenext India Pvt. Ltd,"Gandhinagar, Gujarat",270000.0,The branches are given timely funds to take care of branch expenses and ensuring timely reconciliation of branch expenses. Taxation (Sales & Income Tax)*.
913,Primary School Principal (IB Curriculum),Intelligent Partners,"Abu, Rajasthan",Nan,"Education allowance for children, others. Position :Primary School Principal (IB Curriculum)Location :Abu DhabiRequirement :Bachelors degree in leadership…"
914,Primary School Principal (IB Curriculum),Intelligent Partners,"Abu, Rajasthan",Nan,"Education allowance for children, others. … Position :Primary School Principal (IB Curriculum)Location :Abu DhabiRequirement :Bachelors degree in leadership…"
915,Data Entry Operator Cum Office Assistant Cum P.d.a. Operator...,"Office of the Zila Panchayat, Alirajpur","Sondwa, Madhya Pradesh",0,No of Posts 01Salary Rs 17300 - per month Age Limit Candidates age should be between 18 to 45 years as on 01-01-2017 Educational Qualification Candidates should…
916,FJ10,Fujitsu,"Pune, Maharashtra",Nan,Month end and year end PL and BS closure activities 6. … Working knowledge of SAP as a end user is preferred. … He should be capable of handling the following areas…
917,Urgent Hiring Documents Bank collection work,IMPULSE BRAND DEVELOPER PRIVATE LIMITED,"Karol Bagh, Delhi, Delhi",288000.0,Walk in Interview for Field Executive Interview. … More Info Call /whatapp HR jassy singh 9639473I7O. … You must have DL and Bike. … Age must be Under 42.
918,[Government] NEIGRIHMS Aug-2019,NEIGRIHMS,India,0,"CSSD Assistant Gr-ll – 3 Posts, Age: … Http://governmentjobsindia.net/wp-content/uploads/2019/08/NEIGRIHMS-Shillong-Notification.pdf for more detailed information…"
919,Education Counselor,Enabler Recruitment Solution,"Ahmedabad, Gujarat",350000.0,Education counselor preferred female or male (No’s 6 ). … 3.0 to 4.0 lakh p.a plus sales incentive per month in case of 2 or 3 year of sales experience.
920,AM/DM- Banking CASA Sales,Neo Staffing & Solutions,"Ankleshwar, Gujarat",350000.0,"To ensure complete customer satisfaction, to work within established standards of customer service for the branch."
921,UI Designer,PayMate,"Santacruz, Mumbai, Maharashtra",1000000.0,"Experience working in an Agile/Scrum development process. … The ideal candidate should have an eye for clean and artful design, possess superior UI skills and be…"
922,We Are Hiring Reliance Jio Telecom Company,Freelancer Vikash Kumar 1 Hiring For Candidate,"Guwahati, Assam",Nan,We are Hiring candidates in Reliance Jio Telecom Company Salary Monthly Bases -14 000 40000Immediately contactDesignation - Supervisor Store keeper Senior…
923,"Clerk Typist 35 hrs/wk, Dougherty Valley High School",San Ramon Valley Unified School District,Haryana,Nan,Employer: San Ramon Valley Unified School District Date Posted: 6/25/2019 Contact: Kim Wolkenmuth Number Openings: (At time of posting) 1 Length of Work Year:…
924,Research Associate,Institute of Rural Management Anand,"Anand, Gujarat",0,"PhD in Social Sciences (Economics, Development Studies, Development Work or similar areas) from reputed institutes OR Post Graduate Degree in Social Sciences …"
925,Front Desk Receptionist,Centre For Sight,"Vadodara, Gujarat",Nan,Greet patient warmly and make sure they are comfortable. Handle phone calls from people calling in sick. … Calling Patient to remind them of appointments .
926,Education Counsellor,Kangaroo Education Global,"Navi Mumbai, Maharashtra",1250000.0,We are looking for an experienced and driven education counsellor to join our team in Navi Mumbai who has immense knowledge about the industry and overseas…
927,AS400_Pune_2-4Years,Capgemini,"Pune, Maharashtra",Nan,"He/she should work on Design, Coding, Testing, Support, Production, Release PIS of Project SDLC Experience in working Agile DevOps will be value added."
928,AS400_Pune_4-6Years,Capgemini,"Pune, Maharashtra",Nan,"He/she should work on Design, Coding, Testing, Support, Production, Release PIS of Project SDLC Experience in working Agile DevOps will be value added."
929,Executive Call Centre,GRP Discount,India,Nan,"Call builder and brokers to identify current market price, available inventory, sales and other real estate information. … Flair to interact with people."
930,"R&D Officer, Entomology",RB,"Gurgaon, Haryana",Nan,"Our iconic brands will provide an incredible platform for you. And our dynamic, ownership-driven culture will help bring the very best out of you, every day."
931,"Required Ethical Hacker, Navi Mumbai",Xtranet Technologies Private Limited,"Belapurpada, Maharashtra",Nan,"Expertise in computing and knowledge of programming, web applications, operating systems, assembly language, internet security systems etc. to protect computer…"
932,Accounting Services Associate II,Conduent,"Bengaluru, Karnataka",Nan,Conduent is an Equal Opportunity Employer and considers applicants for all… For those using Google Chrome or Mozilla Firefox please download the form first:…
933,LC-01-2013,Skei Ice Cream,India,0,Lab chemist trainee.Should able to handle all microbiological terts walid to finished goods/raw materials/Packing Materials.
934,Data Entry Work,Empass learning Pvt ltd,"Gurgaon, Haryana",54000.0,"Data entry for content already created for assessment for English and different kind of other assessments. Proof reading, checklist, review in process of entry…"
935,Laboratory Assistant,BioEra Life Sciences,India,Nan,"Candidate should have excellent communication skills with command over English and Hindi, knowledge of a regional language will be an advantage."
936,Administration Executive,TÜV SÜD,"Indore, Madhya Pradesh",Nan,"Reconciliation of Invoicing of all audits, preparations of audit schedules and follow up of those for effective completion."
937,Spec - Data Analytics,Verizon,"Chennai, Tamil Nadu",Nan,"Optimize algorithms for maximum speed, performance and scalability. Whether you think in code, words, pictures or numbers, join our team of the best and…"
938,Training & Internship,Pa Say Webscript Pvt Ltd,"Bhopal, Madhya Pradesh",162000.0,"For freshers, final year students. BCom, Engg, BCA, MCA, BBA, MBA). Managerial & Executive Job oriented training."
939,Teaching Faculty,Dr.Babasaheb Ambedkar Marathwada University Aurang...,"Aurangabad, Maharashtra",Nan,"Information & Communication Technology & Higher education svstem 0L5. Walk In Interview How to Apply : Any Graduate, Any Post Graduate Vacancies :"
940,Customer Relationship Officer,Avenues Payments,India,Nan,Knowledge of International Finance will be an added advantage. Fresher’s or Experienced in Marketing and Sales (6 Months to 1.5 Years ) will be an added…
941,Office Assistant or Helper,"Mahindra Automobiles Ltd Co,","Visakhapatnam, Andhra Pradesh",433200.0,"(9.30 AM To 5.30 PM) (Full time). Limited vacancy For Male Districts Wise Joining. Requirement in Co Outlets like Work Shop, Warehouse, Go down, Service Centre."
942,Data Entry Operator,VB EXPORT,"Surat, Gujarat",138000.0,"Required urgently data entry operator for our e commerce company ,. Experienced in e commerce data entry operator required."
943,Store Executive,Foodlink Services India Pvt.Ltd,"Ahmedabad, Gujarat",258000.0,Candidates should be from Hotel/Catering industry. He has to use ERP software. G.R.N Book in the software. Co-Ordination with the in house staff.
944,10th/12th Passed Job Vaccancies | Data Entry,Marketing Raxtan Ltd,"Nangloi Jat, Delhi",239400.0,"We are looking for Data Entry Operator (DEO), Maintain Data on our google drive applications (documents, sheets, forms) within the organization, as he will be…"
945,Market Research Associate,Grands views Research,"Pune, Maharashtra",300000.0,You may need at least one year of research experience in order to qualify for certain positions. Bachelor's degree in market research or a related field like…
946,superber,hotel aastha,"Sadul Colony Bikaner, Rajasthan",270000.0,";ojg b0p8yngv okijhgl g987 79fjkupgi -[ Job Type: Part-time Salary: ₹15,000.00 to ₹30,000.00 /month Experience: * work: 1 year (Preferred) * total work: 1…"
947,Urgent need office Clerk,Ash Brick Private.Ltd.,"Kolkata, West Bengal",210000.0,Call hr yash 83 960 54 260. Age limit 18 year to 30 year. We are hiring for Data Operator Clerk. The candidate should have fundamental learning of computer…
948,Customer Care Executive,vision services pvt ltd,"Ahmedabad, Gujarat",198000.0,We are hiring Customer support executive. Should have Good communication skill .(any calling experience). 2nd and 4th Saturdays are week off.
949,Business Support and Administration,Tyrus Technologies Pvt Ltd,"Kottayam, Kerala",Nan,"Need candidate for Business support and administartion. Required Experience, Skills and Qualifications*. Candidates with good communication skill."
950,Executive - Purchase,KUNAL STRUCTURE,"Ahmedabad, Gujarat",Nan,Compare & evaluate offers from suppliers. Negotiate contract terms of agreement & pricing. Track orders & ensure timely delivery.
951,Customer Service Executive,IIHA,"Gurgaon, Haryana",300000.0,Suggesting information about other products and services. Handle inbound and outbound customer calls. Make chart for enquiry handling.
952,Mathematics Teacher (PRT),"Vatsalya International School, Khambhat, Anand Dis...","Anand, Gujarat",228000.0,"To be an effective teacher to facilitate the children for all dimensions of holistic growth. Attractive salary, free food, free accommodation, free education to…"
953,Looking for QA/QC FOR OIL AND GAS,corrsonic engg and ndt services,"Mathura, Uttar Pradesh",162000.0,Interested Candidates are requested to call me at 8510022244. We are looking for Candidates who had good experience QA/QC in Oil and gas fields.Candidates must…
954,QC Microbiologist,Makcur Laboratories LTD,"Ahmedabad, Gujarat",150000.0,"0 to 3 Years experience. A Microbiologist in a pharmaceutical factory is a member of Qualitydepartment , the role of the Microbiologist is to ensure the…"
955,Bumper Available In Reliance Jio Telecom Company,Freelancer Vikash Kumar 1 Hiring For Candidate,"Guwahati, Assam",Nan,We are Hiring candidates in Reliance Jio Telecom Company r Salary Monthly Bases -14 000 40000r Immediately contactr Designation - Supervisor Store keeper Senior…
956,Back Office Executive / Data entry,VAS MOBITECH PVT. LTD.,"Ambala, Haryana",90000.0,"Candidate will be responsible for the computer related work, the person should have good typing knowledge and understand basics of computer."
957,System Administrator,SAVE THE ROBOTS,"Khar, Maharashtra",Nan,Your goal will be to ensure that our technology infrastructure runs smoothly and efficiently. You should be able to diagnose and resolve problems quickly.
958,Terminal Operator Required,Cigma Techno Lab Pvt. Ltd.,"Ahmedabad, Gujarat",180000.0,Should have working experience of 6 months to 1 year. Cigma Techno lab is hiring for Terminal Operator for share market on urgent basis.
959,"Oil & Gas , QA/QC MECH ,NDT",Career Guru (gurucareer15@gmail.com),"Ernakulam, Kerala",750000.0,"Petroleum Engineers QA/QC ENGINEERS NDT TECHNICIAN JOB LOCATION : UAE Freshers can apply No service Charge Job Type: Full-time Salary: ₹50,000…"
960,Recruitment Coordinator - Mumbai,JP Morgan Chase,"Mumbai, Maharashtra",Nan,"Interview Coordination – managing complex interview requests across multiple locations, line of business and timezones. Our wholesale businesses include J.P."
961,OFFICE ASSISTANCE,MARUTI SUZUKI LTD COMPANY,"Jaipur, Rajasthan",324000.0,"10TH TO GRADUATION /POST GRADUATION ANY FIELDS AND ANY STREAM,. ACCORDING TO THE POST 18500 TO 35500 THOUSANDS ,. ACCORDING TO THE QUALIFICATION AND EXPERIENCE."
